sehir,enlem,boylam,nufus
Adana,37.003277,35.3261219,2.216.475
Adıyaman,37.7640008,38.2764355,615.076
Afyonkarahisar,38.7568509,30.5386944,715.693
Aksaray,38.3705416,34.026907,402.404
Amasya,40.6569451,35.7727169,329.888
Ankara,39.9215219,32.8537929,5.445.026
Antalya,36.9009641,30.6954846,2.364.396
Ardahan,41.1102966,42.7035585,97.096
Artvin,41.160506,41.8398627,166.143
Aydın,37.8413007,27.8328374,1.080.839
Ağrı,39.7201318,43.0500388,536.285
Balıkesir,39.6473917,27.8879787,1.204.824
Bartın,41.6338394,32.3384354,193.577
Batman,37.7874104,41.2573924,585.252
Bayburt,40.25569,40.224099,80.417
Bilecik,40.1435101,29.9752911,221.693
Bingöl,38.8851831,40.4965998,273.354
Bitlis,38.4002185,42.1081317,341.474
Bolu,40.7332953,31.6110479,303.184
Burdur,37.7248394,30.2887286,264.779
Bursa,40.1826036,29.0675655,2.936.803
Denizli,37.7734833,29.0873894,1.018.735
Diyarbakır,37.9167321,40.2225658,1.699.901
Düzce,40.8458611,31.164851,377.610
Edirne,41.6759327,26.5587225,406.855
Elazığ,38.5824771,39.396179,583.671
Erzincan,39.7496052,39.4941023,231.511
Erzurum,39.7581897,41.4032241,760.476
Eskişehir,39.7666813,30.5255947,860.620
Gaziantep,37.0611756,37.3793085,2.005.515
Giresun,40.9148702,38.3879289,437.393
Gümüşhane,40.4617844,39.4757339,170.173
Hakkari,37.574898,43.73766,275.761
Hatay,36.2025939,36.1603945,1.575.226
Isparta,37.77035,30.5556933,433.830
Iğdır,39.9215668,44.0467724,194.775
Kahramanmaraş,37.5812744,36.927509,1.127.623
Karabük,41.1110349,32.6193901,244.453
Karaman,37.1792447,33.2224781,246.672
Kars,40.605158,43.0961734,287.654
Kastamonu,41.3765359,33.7770087,372.373
Kayseri,38.7225274,35.4874516,1.376.722
Kilis,36.718045,37.11688,136.319
Kocaeli,40.765382,29.9406983,1.883.270
Konya,37.8719963,32.4844015,2.180.149
Kütahya,39.4191505,29.9872928,572.256
Kırklareli,41.7370223,27.2235523,356.050
Kırıkkale,39.8485708,33.5276222,278.749
Kırşehir,39.1461142,34.1605587,234.529
Malatya,38.3483098,38.3178715,786.676
Manisa,38.6155029,27.4255716,1.413.041
Mardin,37.3414854,40.7476249,809.719
Mersin,36.8117583,34.6292679,1.793.931
Muğla,37.1642053,28.2624288,938.751
Muş,38.7403703,41.4967451,404.544
Nevşehir,38.6223688,34.7136022,292.365
Niğde,37.9712079,34.6775534,352.727
Ordu,40.8292569,37.4082764,742.341
Osmaniye,37.073671,36.255941,527.724
Rize,41.022809,40.519612,331.041
Sakarya,40.7731834,30.481606,990.214
Samsun,41.2889924,36.3294459,1.312.990
Siirt,37.931282,41.93984,324.394
Sinop,42.0266698,35.1506765,207.427
Sivas,39.7503572,37.0145185,621.301
Tekirdağ,40.986223,27.513944,1.005.463
Tokat,40.327747,36.5539494,602.086
Trabzon,41.0058605,39.7180928,786.326
Tunceli,39.1080631,39.548197,82.498
Uşak,38.6710838,29.4072509,364.971
Van,38.5083601, 43.3745322,1.106.891
Yalova,40.6556669,29.2729091,251.203
Yozgat,39.8205571,34.8094917,418.650
Zonguldak,41.250324,31.8389738,596.892
Çanakkale,40.1534952,26.4140933,530.417
Çankırı,40.5971947,33.6212704,186.074
Çorum,40.5491496,34.9602453,528.422
İstanbul,41.0096334,28.9651646,15.029.231
İzmir,38.4153421,27.144474,4.279.677
Şanlıurfa,37.2595198,39.0408174,1.985.753
Şırnak,37.455253,42.5212049,503.236
